instance_name,gurobi_result,gurobi_dual_bound,GA_Satisfactory,GA_Satisfactory_AllStrategies,GA_Satisfactory_HybridAdaptiveMutation,GA_Satisfactory_LHS,GA_Satisfactory_SteadyState,GA_Satisfactory_Unbiased
phase1,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0
phase1_half_alternates,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
phase2,36.0,36.0,39.0,43.0,40.0,39.0,41.0,40.0
phase2_half_alternates,59.0,59.0,59.0,59.0,60.0,59.0,61.0,59.0
phase3,110.0,110.0,115.0,130.0,117.0,117.0,117.0,114.0
phase3_half_alternates,162.0,162.0,165.0,167.0,166.0,165.0,166.0,165.0
phase4,550.0,550.0,571.0,636.0,589.0,571.0,576.0,569.0
phase4_half_alternates,923.0,923.0,958.0,1007.0,966.0,958.0,959.0,958.0
phase5,1080.0,1080.0,1123.0,1388.0,1129.0,1137.0,1122.0,1122.0
phase5_half_alternates,1881.0,1881.0,1951.0,2081.0,1952.0,1951.0,1951.0,1951.0
random_instance_1000_recipes_1,77.0,77.0,104.0,,173.0,118.0,172.0,124.0
random_instance_1000_recipes_10,111.0,111.0,,,,243.0,180390.0,
random_instance_1000_recipes_2,142.0,139.0,272.0,,,288.0,301.0,218.0
random_instance_1000_recipes_3,113.0,113.0,,,,159.0,138.0,138.0
random_instance_1000_recipes_4,62.0,62.0,,,,159.0,230883.0,
random_instance_1000_recipes_5,92.0,92.0,171.0,,,112.0,227877.0,
random_instance_1000_recipes_6,59.0,59.0,234.0,,182.0,137.0,258.0,339.0
random_instance_1000_recipes_7,71.0,71.0,137.0,,,134.0,75301.0,127.0
random_instance_1000_recipes_8,52.0,52.0,63.0,,,,144671.0,117.0
random_instance_1000_recipes_9,94.0,94.0,179.0,,,175.0,127085.0,251.0
